"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days","condition3","Date","condition4","Days_in_Exp"
"208","00186D1657",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"209","00186D1657",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"210","00186D1657",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"211","00186D1658",152,"SGR_1",2.80446131672976,"T2minusT1",26,"T2",2021-08-24,"Day_in_Exp_T2",20
"212","00186D1658",152,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"213","00186D1658",152,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"214","00186D1658",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"215","00186D1658",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"216","00186D1658",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"217","00186D1658",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"218","00186D1659",202,"SGR_1",2.68317164137559,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"219","00186D1659",202,"SGR_2",1.04470483999872,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"220","00186D1659",202,"SGR_3",1.3074174985807,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"221","00186D1659",202,"SGR_4",1.77844837506758,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"222","00186D1659",202,"SGR_5",1.86748751968222,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"223","00186D1659",202,"SGR_6",1.9718639470792,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"224","00186D1659",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"225","00186D165A",152,"SGR_1",3.26988383078417,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"226","00186D165A",152,"SGR_2",3.05223489153772,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
