"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"1673",1673,"00187293A4","152","WEIGHT_1",2.9,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.10626220703125,"15",2021-07-29,0.944784540176588,0.00483035872678539
"1674",1674,"00187293A4","152","WEIGHT_2",7.2,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.17239975575005,"15",2021-08-30,0.977406247336148,0.0493781026089521
"1675",1675,"00187293A4","152","WEIGHT_3",16.4,"LENGTH_3",112,"T3","2021-09-29","Day_in_Exp_T3",62,1.16731960641399,"15",2021-09-29,0.950618469920817,0.0193289898342361
"1676",1676,"00187293A4","152","WEIGHT_4",30.9,"LENGTH_4",139,"T4","2021-11-04","Day_in_Exp_T4",98,1.15057273574546,"15",2021-11-04,0.919936436644462,-0.0160744625416634
"1681",1681,"00187293A7","152","WEIGHT_1",3.5,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.1131182576837,"15",2021-07-29,0.945753699186168,0.0506321642382052
"1682",1682,"00187293A7","152","WEIGHT_2",7.8,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.06995884773663,"15",2021-08-30,0.887680053169482,0.00448455494412614
"1683",1683,"00187293A7","152","WEIGHT_3",15.4,"LENGTH_3",112,"T3","2021-09-29","Day_in_Exp_T3",62,1.09614158163265,"15",2021-09-29,0.892653929071987,0.00619709548724579
"1684",1684,"00187293A7","152","WEIGHT_4",27.6,"LENGTH_4",137,"T4","2021-11-04","Day_in_Exp_T4",98,1.07336487833448,"15",2021-11-04,0.859263041512137,-0.0319152111721495
"1685",1685,"00187293A7","152","WEIGHT_5",43.6,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.064453125,"15",2021-12-09,0.840961943292072,-0.0525929784924725
"1686",1686,"00187293A7","152","WEIGHT_6",62.1,"LENGTH_6",180,"T6","2022-01-06","Day_in_Exp_T6",161,1.06481481481481,"15",2022-01-06,0.832867512418522,-0.0507466061431411
"1689",1689,"00187293A8","201","WEIGHT_1",3.1,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,1.03071188942789,"20",2021-07-29,0.876841159126868,-0.0256079556326891
"1690",1690,"00187293A8","201","WEIGHT_2",8.1,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,1.18860349361382,"20",2021-08-30,0.987997794907113,0.0316324627746895
"1691",1691,"00187293A8","201","WEIGHT_3",15.3,"LENGTH_3",108,"T3","2021-09-29","Day_in_Exp_T3",62,1.21456332876086,"20",2021-09-29,0.992154131366612,0.0894769838437194
"1692",1692,"00187293A8","201","WEIGHT_4",27.9,"LENGTH_4",130,"T4","2021-11-04","Day_in_Exp_T4",98,1.26991351843423,"20",2021-11-04,1.02114863560721,0.0570872930332922
"1693",1693,"00187293A8","201","WEIGHT_5",43.2,"LENGTH_5",156,"T5","2021-12-09","Day_in_Exp_T5",133,1.13791533909877,"20",2021-12-09,0.900936871064203,-0.0475446192507554
"1694",1694,"00187293A8","201","WEIGHT_6",40.2,"LENGTH_6",158,"T6","2022-01-06","Day_in_Exp_T6",161,1.01918915136531,"20",2022-01-06,0.806062913243388,-0.131651812323747
"1697",1697,"00187293AA","152","WEIGHT_1",2.5,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,0.999812035337357,"15",2021-07-29,0.855016338245404,-0.00841132231667707
"1698",1698,"00187293AA","152","WEIGHT_2",3.9,"LENGTH_2",74,"T2","2021-08-30","Day_in_Exp_T2",20,0.962430655637376,"15",2021-08-30,0.81186674329981,-0.039634880539664
"1699",1699,"00187293AA","152","WEIGHT_3",7.5,"LENGTH_3",91,"T3","2021-09-29","Day_in_Exp_T3",62,0.995261229532453,"15",2021-09-29,0.824932792842072,-0.0298301663567869
"1700",1700,"00187293AA","152","WEIGHT_4",15.3,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.00599983562094,"15",2021-11-04,0.817407453188902,-0.0420769251095023
"1701",1701,"00187293AA","152","WEIGHT_5",29.6,"LENGTH_5",143,"T5","2021-12-09","Day_in_Exp_T5",133,1.01224024154241,"15",2021-12-09,0.807383808091417,-0.0544772393072445
"1702",1702,"00187293AA","152","WEIGHT_6",45.8,"LENGTH_6",159,"T6","2022-01-06","Day_in_Exp_T6",161,1.13939446408532,"15",2022-01-06,0.900648540279916,0.0487282961041351
"1704",1704,"00187293AA","152","WEIGHT_8",135.5,"LENGTH_8",235,"T8","2022-03-30","Day_in_Exp_T8",244,1.04408464405767,"15",2022-03-30,0.798352960491806,-0.0411331238586512
"1705",1705,"00187293AC","151","WEIGHT_1",3.6,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.04956268221574,"15",2021-07-29,0.889559592706172,0.011362398626122
"1706",1706,"00187293AC","151","WEIGHT_2",10.8,"LENGTH_2",100,"T2","2021-08-30","Day_in_Exp_T2",20,1.08,"15",2021-08-30,0.888022061942837,0.0217509045853945
"1707",1707,"00187293AC","151","WEIGHT_3",28.8,"LENGTH_3",140,"T3","2021-09-29","Day_in_Exp_T3",62,1.04956268221574,"15",2021-09-29,0.838663027781106,-0.0308694649357217
"1708",1708,"00187293AC","151","WEIGHT_4",64.4,"LENGTH_4",180,"T4","2021-11-04","Day_in_Exp_T4",98,1.1042524005487,"15",2021-11-04,0.863714457322912,-0.0105394544934611
"1709",1709,"00187293AC","151","WEIGHT_5",122.9,"LENGTH_5",225,"T5","2021-12-09","Day_in_Exp_T5",133,1.07895747599451,"15",2021-12-09,0.828073362595016,-0.0485572183216151
"1710",1710,"00187293AC","151","WEIGHT_6",183.2,"LENGTH_6",260,"T6","2022-01-06","Day_in_Exp_T6",161,1.04233045061447,"15",2022-01-06,0.790192113398234,-0.0764976642955159
"1712",1712,"00187293AC","151","WEIGHT_8",327.8,"LENGTH_8",305,"T8","2022-03-30","Day_in_Exp_T8",244,1.15533899313158,"15",2022-03-30,0.8640600876981,0.00980446982967464
"1713",1713,"00187293AD","202","WEIGHT_1",2.7,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.02996826171875,"20",2021-07-29,0.879626985681651,-0.00467517957053953
"1714",1714,"00187293AD","202","WEIGHT_2",5.6,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.09375,"20",2021-08-30,0.916548428543069,-0.0216699540819885
"1715",1715,"00187293AD","202","WEIGHT_3",11,"LENGTH_3",98,"T3","2021-09-29","Day_in_Exp_T3",62,1.16873071594319,"20",2021-09-29,0.962631882886829,0.0781016848713019
"1716",1716,"00187293AD","202","WEIGHT_4",22.3,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.14176,"20",2021-11-04,0.921165094365588,-0.0247492987009623
"1717",1717,"00187293AD","202","WEIGHT_5",39.7,"LENGTH_5",152,"T5","2021-12-09","Day_in_Exp_T5",133,1.13047182533897,"20",2021-12-09,0.897021883192286,-0.0333126576153053
"1718",1718,"00187293AD","202","WEIGHT_6",54.7,"LENGTH_6",171,"T6","2022-01-06","Day_in_Exp_T6",161,1.09395383514816,"20",2022-01-06,0.859397974511054,-0.0601698015487143
"1720",1720,"00187293AD","202","WEIGHT_8",133.5,"LENGTH_8",225,"T8","2022-03-30","Day_in_Exp_T8",244,1.17201646090535,"20",2022-03-30,0.899493847896131,-0.0133209405960509
"1721",1721,"00187293AE","151","WEIGHT_1",2.3,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.01330067274353,"15",2021-07-29,0.868931007225533,-0.0359494325315688
"1722",1722,"00187293AE","151","WEIGHT_2",5.7,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.07255556120059,"15",2021-08-30,0.897839219620158,0.00488481658566342
"1723",1723,"00187293AE","151","WEIGHT_3",14.8,"LENGTH_3",111,"T3","2021-09-29","Day_in_Exp_T3",62,1.08216324432541,"15",2021-09-29,0.881942610631307,-0.0142731277625739
"1729",1729,"00187293B0","202","WEIGHT_1",3.6,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.04956268221574,"20",2021-07-29,0.889559592706172,-0.0196544249870811
"1730",1730,"00187293B0","202","WEIGHT_2",5.3,"LENGTH_2",77,"T2","2021-08-24","Day_in_Exp_T2",20,1.16092374483334,"20",2021-08-24,0.976004864965356,0.0128746298992366
"1737",1737,"00187293B2","152","WEIGHT_1",2.1,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.02249986610121,"15",2021-07-29,0.879307624225407,-0.0400178967946995
"1738",1738,"00187293B2","152","WEIGHT_2",4.9,"LENGTH_2",78,"T2","2021-08-30","Day_in_Exp_T2",20,1.03255280770074,"15",2021-08-30,0.867130037950693,-0.0402694463468057
"1739",1739,"00187293B2","152","WEIGHT_3",11.6,"LENGTH_3",102,"T3","2021-09-29","Day_in_Exp_T3",62,1.09309390807457,"15",2021-09-29,0.897276842496156,-0.0133839771607285
"1740",1740,"00187293B2","152","WEIGHT_4",28.5,"LENGTH_4",136,"T4","2021-11-04","Day_in_Exp_T4",98,1.13299536942805,"15",2021-11-04,0.907564140279836,-0.00781809847659276
"1741",1741,"00187293B2","152","WEIGHT_5",49.8,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.2158203125,"15",2021-12-09,0.960548274677641,0.0427893668209541
"1742",1742,"00187293B2","152","WEIGHT_6",75.6,"LENGTH_6",183,"T6","2022-01-06","Day_in_Exp_T6",161,1.23358342768778,"15",2022-01-06,0.96351877944562,0.0557006748118143
"1745",1745,"00187293B5","151","WEIGHT_1",1.5,"LENGTH_1",52,"T1","2021-07-29","Day_in_Exp_T1",0,1.0667956304051,"15",2021-07-29,0.927301460809426,-0.0265394900212642
"1746",1746,"00187293B5","151","WEIGHT_2",3.6,"LENGTH_2",66,"T2","2021-08-24","Day_in_Exp_T2",20,1.25219133483596,"15",2021-08-24,1.06661935363354,0.124704439525462
"1753",1753,"00187293B6","201","WEIGHT_1",3.6,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.09586038738665,"20",2021-07-29,0.929935989827793,-0.0543973834036059
"1754",1754,"00187293B6","201","WEIGHT_2",8.1,"LENGTH_2",86,"T2","2021-08-30","Day_in_Exp_T2",20,1.27347277598199,"20",2021-08-30,1.06061385671301,0.0223642661087473
"1755",1755,"00187293B6","201","WEIGHT_3",12.7,"LENGTH_3",102,"T3","2021-09-29","Day_in_Exp_T3",62,1.19674936487475,"20",2021-09-29,0.982363439629412,-0.00219796636532277
"1756",1756,"00187293B6","201","WEIGHT_4",26.5,"LENGTH_4",129,"T4","2021-11-04","Day_in_Exp_T4",98,1.23445920671322,"20",2021-11-04,0.993291268108895,-0.0526543329368628
"1757",1757,"00187293B6","201","WEIGHT_5",51.5,"LENGTH_5",158,"T5","2021-12-09","Day_in_Exp_T5",133,1.30567764416202,"20",2021-12-09,1.03264278686653,0.00227703807972901
"1758",1758,"00187293B6","201","WEIGHT_6",67.2,"LENGTH_6",166,"T6","2022-01-06","Day_in_Exp_T6",161,1.46907852049802,"20",2022-01-06,1.15700656033859,0.137407576299612
"1760",1760,"00187293B6","201","WEIGHT_8",112,"LENGTH_8",195,"T8","2022-03-30","Day_in_Exp_T8",244,1.51047725012222,"20",2022-03-30,1.17344096820555,0.160594971734158
"1761",1761,"00187293B7","202","WEIGHT_1",2.7,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.13289248430734,"20",2021-07-29,0.970142212914426,0.0486931100713116
"1762",1762,"00187293B7","202","WEIGHT_2",5.1,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.20888888888889,"20",2021-08-30,1.018605879251,0.0432405590350179
"1763",1763,"00187293B7","202","WEIGHT_3",4.3,"LENGTH_3",75,"T3","2021-09-29","Day_in_Exp_T3",62,1.01925925925926,"20",2021-09-29,0.858824564858686,-0.0628525707477653
"1769",1769,"00187293BA","152","WEIGHT_1",3.3,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,0.962099125364431,"15",2021-07-29,0.815429626647324,-0.137201653841167
"1770",1770,"00187293BA","152","WEIGHT_2",7.9,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.12061665122864,"15",2021-08-30,0.930591155894745,-0.010114087871139
"1771",1771,"00187293BA","152","WEIGHT_3",18.7,"LENGTH_3",117,"T3","2021-09-29","Day_in_Exp_T3",62,1.16757294052933,"15",2021-09-29,0.947301495773514,0.00333491664824515
"1772",1772,"00187293BA","152","WEIGHT_4",29.2,"LENGTH_4",134,"T4","2021-11-04","Day_in_Exp_T4",98,1.21358012787477,"15",2021-11-04,0.973339948799109,0.0246519505742956
"1773",1773,"00187293BA","152","WEIGHT_5",45.6,"LENGTH_5",152,"T5","2021-12-09","Day_in_Exp_T5",133,1.29847645429363,"15",2021-12-09,1.03033244014026,0.0792677728151867
"1774",1774,"00187293BA","152","WEIGHT_6",63.9,"LENGTH_6",172,"T6","2022-01-06","Day_in_Exp_T6",161,1.25578565409335,"15",2022-01-06,0.986042421263387,0.0449185571611965
"1776",1776,"00187293BA","152","WEIGHT_8",159.6,"LENGTH_8",229,"T8","2022-03-30","Day_in_Exp_T8",244,1.32900446490541,"15",2022-03-30,1.01845166847462,0.089761964197757
"1777",1777,"00187293BC","152","WEIGHT_1",3.1,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,1.03071188942789,"15",2021-07-29,0.876841159126868,-0.0475207922304322
"1778",1778,"00187293BC","152","WEIGHT_2",9.6,"LENGTH_2",95,"T2","2021-08-30","Day_in_Exp_T2",20,1.1196967487972,"15",2021-08-30,0.924685208764486,0.0122492941297931
"1779",1779,"00187293BC","152","WEIGHT_3",25.2,"LENGTH_3",130,"T3","2021-09-29","Day_in_Exp_T3",62,1.14701866181156,"15",2021-09-29,0.922327799903285,0.00663054990920653
"1780",1780,"00187293BC","152","WEIGHT_4",51.7,"LENGTH_4",164,"T4","2021-11-04","Day_in_Exp_T4",98,1.17208470567752,"15",2021-11-04,0.924053830936118,0.00363516184249513
"1781",1781,"00187293BC","152","WEIGHT_5",88.1,"LENGTH_5",195,"T5","2021-12-09","Day_in_Exp_T5",133,1.18815219406935,"15",2021-12-09,0.923037047311686,0.000241709117805078
"1782",1782,"00187293BC","152","WEIGHT_6",139.1,"LENGTH_6",224,"T6","2022-01-06","Day_in_Exp_T6",161,1.23760790588557,"15",2022-01-06,0.950193364834185,0.0373388298631849
"1784",1784,"00187293BC","152","WEIGHT_8",377,"LENGTH_8",315,"T8","2022-03-30","Day_in_Exp_T8",244,1.20617323943099,"15",2022-03-30,0.899607964592248,-0.000812410553427956
"1785",1785,"00187293BD","151","WEIGHT_1",3.7,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.07871720116618,"15",2021-07-29,0.914269581392454,-0.0045327728720792
"1793",1793,"00187293BE","201","WEIGHT_1",3.8,"LENGTH_1",71,"T1","2021-07-29","Day_in_Exp_T1",0,1.06171646023732,"20",2021-07-29,0.898776256359508,-0.0492138452640803
"1794",1794,"00187293BE","201","WEIGHT_2",7.9,"LENGTH_2",87,"T2","2021-08-30","Day_in_Exp_T2",20,1.19969081386114,"20",2021-08-30,0.99818306392877,-0.00372325506768423
"1795",1795,"00187293BE","201","WEIGHT_3",14.4,"LENGTH_3",107,"T3","2021-09-29","Day_in_Exp_T3",62,1.17546894272283,"20",2021-09-29,0.960978204914709,0.0127600705277846
"1796",1796,"00187293BE","201","WEIGHT_4",30.5,"LENGTH_4",132,"T4","2021-11-04","Day_in_Exp_T4",98,1.32610540668392,"20",2021-11-04,1.06495010714107,0.0553477777031228
"1797",1797,"00187293BE","201","WEIGHT_5",50.3,"LENGTH_5",155,"T5","2021-12-09","Day_in_Exp_T5",133,1.35074351314155,"20",2021-12-09,1.07002690100563,0.076004423826642
"1798",1798,"00187293BE","201","WEIGHT_6",67.2,"LENGTH_6",175,"T6","2022-01-06","Day_in_Exp_T6",161,1.25387755102041,"20",2022-01-06,0.983098181717968,-0.000157530713198573
"1800",1800,"00187293BE","201","WEIGHT_8",133.6,"LENGTH_8",218,"T8","2022-03-30","Day_in_Exp_T8",244,1.28954641170198,"20",2022-03-30,0.9923575434931,0.0158548186295204
"1801",1801,"00187293C0","202","WEIGHT_1",3.8,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.10787172011662,"20",2021-07-29,0.938979570078737,0.0414898304521595
"1802",1802,"00187293C0","202","WEIGHT_2",7.6,"LENGTH_2",86,"T2","2021-08-30","Day_in_Exp_T2",20,1.19486334536582,"20",2021-08-30,0.995143865557888,0.0437379085584448
"1803",1803,"00187293C0","202","WEIGHT_3",9.1,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.06137920979735,"20",2021-09-29,0.876524520808002,-0.0211932515819109
"1804",1804,"00187293C0","202","WEIGHT_4",17.8,"LENGTH_4",116,"T4","2021-11-04","Day_in_Exp_T4",98,1.1403706589036,"20",2021-11-04,0.925906441636262,-0.0331955258046741
"1805",1805,"00187293C0","202","WEIGHT_5",31.3,"LENGTH_5",141,"T5","2021-12-09","Day_in_Exp_T5",133,1.11657268549287,"20",2021-12-09,0.891668398217534,-0.0518537169644441
"1806",1806,"00187293C0","202","WEIGHT_6",45.4,"LENGTH_6",158,"T6","2022-01-06","Day_in_Exp_T6",161,1.15102456397973,"20",2022-01-06,0.910329757742532,-0.0224255926916228
"1808",1808,"00187293C0","202","WEIGHT_8",95.8,"LENGTH_8",200,"T8","2022-03-30","Day_in_Exp_T8",244,1.1975,"20",2022-03-30,0.928299192033183,0.00229682916661444
"1809",1809,"00187293C1","202","WEIGHT_1",2.3,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,0.965056560706253,"20",2021-07-29,0.826417440630808,-0.0311852463139295
"1810",1810,"00187293C1","202","WEIGHT_2",4.9,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.16148148148148,"20",2021-08-30,0.978660550652921,0.0671416463353172
"1811",1811,"00187293C1","202","WEIGHT_3",5.6,"LENGTH_3",80,"T3","2021-09-29","Day_in_Exp_T3",62,1.09375,"20",2021-09-29,0.916548428543069,0.0587177088349955
"1812",1812,"00187293C1","202","WEIGHT_4",4.5,"LENGTH_4",78,"T4","2021-11-04","Day_in_Exp_T4",98,0.948262782582309,"20",2021-11-04,0.796343912403698,-0.122871002355399
"1813",1813,"00187293C1","202","WEIGHT_5",5.7,"LENGTH_5",85,"T5","2021-12-09","Day_in_Exp_T5",133,0.928149806635457,"20",2021-12-09,0.773779945807784,-0.129855116692354
"1817",1817,"00187293C2","201","WEIGHT_1",3.6,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.04956268221574,"20",2021-07-29,0.889559592706172,-0.119041679508119
"1818",1818,"00187293C2","201","WEIGHT_2",10,"LENGTH_2",93,"T2","2021-08-30","Day_in_Exp_T2",20,1.24322906371176,"20",2021-08-30,1.02856111979092,-0.0339563697962413
"1819",1819,"00187293C2","201","WEIGHT_3",20,"LENGTH_3",118,"T3","2021-09-29","Day_in_Exp_T3",62,1.21726174535858,"20",2021-09-29,0.986901940993714,-0.0219273639839132
"1820",1820,"00187293C2","201","WEIGHT_4",45.3,"LENGTH_4",145,"T4","2021-11-04","Day_in_Exp_T4",98,1.48591578170487,"20",2021-11-04,1.18379885375276,0.113585353724114
"1821",1821,"00187293C2","201","WEIGHT_5",84.5,"LENGTH_5",180,"T5","2021-12-09","Day_in_Exp_T5",133,1.44890260631001,"20",2021-12-09,1.13328993235693,0.0786562845872341
"1822",1822,"00187293C2","201","WEIGHT_6",115.5,"LENGTH_6",190,"T6","2022-01-06","Day_in_Exp_T6",161,1.68391893862079,"20",2022-01-06,1.31107375951157,0.267206876489702
"1825",1825,"00187293C3","202","WEIGHT_1",3,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,0.997463118801182,"20",2021-07-29,0.848555960445356,-0.0469520230950551
"1833",1833,"00187293C5","151","WEIGHT_1",3.4,"LENGTH_1",71,"T1","2021-07-29","Day_in_Exp_T1",0,0.949956832843919,"15",2021-07-29,0.804168229374297,-0.0784703672463746
"1834",1834,"00187293C5","151","WEIGHT_2",6.4,"LENGTH_2",87,"T2","2021-08-30","Day_in_Exp_T2",20,0.971901418824212,"15",2021-08-30,0.808654634068877,-0.0620579258291867
"1835",1835,"00187293C5","151","WEIGHT_3",15.9,"LENGTH_3",115,"T3","2021-09-29","Day_in_Exp_T3",62,1.04545080956686,"15",2021-09-29,0.849462647431604,-0.024511247825846
"1836",1836,"00187293C5","151","WEIGHT_4",39.7,"LENGTH_4",151,"T4","2021-11-04","Day_in_Exp_T4",98,1.15308059859115,"15",2021-11-04,0.915475285368711,0.0367799710117164
"1837",1837,"00187293C5","151","WEIGHT_5",79.9,"LENGTH_5",190,"T5","2021-12-09","Day_in_Exp_T5",133,1.16489284152209,"15",2021-12-09,0.906967908095018,0.0258959246377657
"1838",1838,"00187293C5","151","WEIGHT_6",119.5,"LENGTH_6",220,"T6","2022-01-06","Day_in_Exp_T6",161,1.12227648384673,"15",2022-01-06,0.862966496097562,-0.00816468413680915
"1841",1841,"00187293C7","152","WEIGHT_1",3.7,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.12630095370294,"15",2021-07-29,0.955767545100787,0.0611837700501623
"1842",1842,"00187293C7","152","WEIGHT_2",10.4,"LENGTH_2",96,"T2","2021-08-30","Day_in_Exp_T2",20,1.17549189814815,"15",2021-08-30,0.969899164845089,0.0872414265170713
"1843",1843,"00187293C7","152","WEIGHT_3",23.6,"LENGTH_3",129,"T3","2021-09-29","Day_in_Exp_T3",62,1.09936744446913,"15",2021-09-29,0.884591468957356,-0.00132760473004767
"1844",1844,"00187293C7","152","WEIGHT_4",50.4,"LENGTH_4",165,"T4","2021-11-04","Day_in_Exp_T4",98,1.12196343601302,"15",2021-11-04,0.884082041051652,-0.00655845173529612
"1845",1845,"00187293C7","152","WEIGHT_5",84.9,"LENGTH_5",195,"T5","2021-12-09","Day_in_Exp_T5",133,1.14499570120872,"15",2021-12-09,0.889510162505813,-0.00350699938139265
"1846",1846,"00187293C7","152","WEIGHT_6",117,"LENGTH_6",220,"T6","2022-01-06","Day_in_Exp_T6",161,1.09879789631856,"15",2022-01-06,0.844912803710584,-0.0381635549537412
"1848",1848,"00187293C7","152","WEIGHT_8",216.6,"LENGTH_8",286,"T8","2022-03-30","Day_in_Exp_T8",244,0.925892045262185,"15",2022-03-30,0.696256463877851,-0.17438573496115
"1849",1849,"00187293CA","151","WEIGHT_1",2.9,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.05598543468366,"15",2021-07-29,0.900658791604299,-0.021375836576228
"1850",1850,"00187293CA","151","WEIGHT_2",5.9,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.11018908966376,"15",2021-08-30,0.929342350133147,0.0192337586752265
"1851",1851,"00187293CA","151","WEIGHT_3",13,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.12298887809092,"15",2021-09-29,0.91954791642845,0.0061779896111438
"1852",1852,"00187293CA","151","WEIGHT_4",25.5,"LENGTH_4",130,"T4","2021-11-04","Day_in_Exp_T4",98,1.16067364588075,"15",2021-11-04,0.933307892759277,0.0152165468424262
"1853",1853,"00187293CA","151","WEIGHT_5",48.5,"LENGTH_5",161,"T5","2021-12-09","Day_in_Exp_T5",133,1.16215514843117,"15",2021-12-09,0.917664457248012,-0.00280355776909647
"1854",1854,"00187293CA","151","WEIGHT_6",81.8,"LENGTH_6",192,"T6","2022-01-06","Day_in_Exp_T6",161,1.15571198640046,"15",2022-01-06,0.899019295703197,-0.0115079160910303
"1857",1857,"00187293CC","151","WEIGHT_1",3.3,"LENGTH_1",66,"T1","2021-07-29","Day_in_Exp_T1",0,1.14784205693297,"15",2021-07-29,0.977734407497416,0.0822705827653896
"1858",1858,"00187293CC","151","WEIGHT_2",7.3,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.03550652581887,"15",2021-08-30,0.859913346586283,-0.023624441423136
"1859",1859,"00187293CC","151","WEIGHT_3",15.6,"LENGTH_3",114,"T3","2021-09-29","Day_in_Exp_T3",62,1.05295556527515,"15",2021-09-29,0.85619587664019,-0.0306032467286144
"1860",1860,"00187293CC","151","WEIGHT_4",28.9,"LENGTH_4",138,"T4","2021-11-04","Day_in_Exp_T4",98,1.09966545817618,"15",2021-11-04,0.879773469459726,-0.0117470730086227
"1861",1861,"00187293CC","151","WEIGHT_5",47.9,"LENGTH_5",163,"T5","2021-12-09","Day_in_Exp_T5",133,1.10604475394199,"15",2021-12-09,0.872442380003178,-0.0214548315654293
"1862",1862,"00187293CC","151","WEIGHT_6",70.2,"LENGTH_6",187,"T6","2022-01-06","Day_in_Exp_T6",161,1.07352532105212,"15",2022-01-06,0.836962029856377,-0.0469943784893486
"1864",1864,"00187293CC","151","WEIGHT_8",164.2,"LENGTH_8",245,"T8","2022-03-30","Day_in_Exp_T8",244,1.11654157706398,"15",2022-03-30,0.850737903240861,-0.0207843452795412
"1865",1865,"00187293CE","152","WEIGHT_1",2.4,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.05735722373238,"15",2021-07-29,0.906710616235339,-0.0278206072443801
"1866",1866,"00187293CE","152","WEIGHT_2",6.1,"LENGTH_2",82,"T2","2021-08-30","Day_in_Exp_T2",20,1.10633914191611,"15",2021-08-30,0.92515414810267,0.0025489613455576
"1867",1867,"00187293CE","152","WEIGHT_3",15.5,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.16453794139745,"15",2021-09-29,0.949806777984508,0.0239402558680104
